State,Manufactured,Sales,Population,"Sales per 100,000 People"
Alabama,421966,315685,4860545,6495
Alaska,115,86448,741522,11658
Arizona,917142,319165,6908642,4620
Arkansas,16781,187400,2988231,6271
California,71984,1226396,39296476,3121
Colorado,987,493367,5530105,8921
Connecticut,319320,182807,3587685,5095
Delaware,48,54120,952698,5681
Florida,623317,1126678,684336,164638
Georgia,383474,370341,20656589,1793
Hawaii,42,0,10313620,0
Idaho,13238,117137,1428683,8199
Illinois,202472,606899,1680026,36124
Indiana,3104,519104,12835726,4044
Iowa,6355,41988,6634007,633
Kansas,416,178892,3130869,5714
Kentucky,458639,288612,2907731,9926
Louisiana,272,358999,4436113,8093
Maine,65260,110104,4686157,2350
Maryland,96411,137291,1330232,10321
Massachusetts,2508892,134659,6024752,2235
Michigan,708,328994,6823721,4821
Minnesota,24526,315348,9933445,3175
Mississippi,946,243585,5525050,4409
Missouri,17592,550714,2985415,18447
Montana,18635,109175,6091176,1792
Nebraska,169,31196,1038656,3004
Nevada,39022,122135,1907603,6403
New Hampshire,1401760,124641,2939254,4241
New Jersey,258569,131283,1335015,9834
New Mexico,199,145072,8978416,1616
New York,882920,368983,2085432,17693
North Carolina,400605,218489,19836286,1101
North Dakota,194,61331,10156689,604
Ohio,220593,735052,755548,97287
Oklahoma,1323,347687,11622554,2991
Oregon,9291,353920,3921207,9026
Pennsylvania,84856,880410,4085989,21547
Puerto Rico,12,17265,12787085,135
Rhode Island,1558,30911,1057566,2923
South Carolina,127409,250855,4959822,5058
South Dakota,185159,99014,861542,11493
Tennessee,9434,604447,6649404,9090
Texas,579418,1297198,27904862,4649
Utah,128411,114069,3044321,3747
Vermont,93575,42660,623354,6844
Virginia,12225,556532,8414380,6614
Washington,16580,417705,7280934,5737
West Virginia,742,201118,1828637,10998
Wisconsin,35873,381738,5772917,6613
Wyoming,1779,55812,584910,9542
